Наименование;Категория;Артикул;Комната;Цена;Ссылка;
Фрихетэн;Диван-кровать;604.191.46; спальня;24 999 ₽;https://www.ikea.com/ru/ru/p/friheten-friheten-ugl-div-krov-s-otd-d-hran-shiftebu-temno-seryy-60419146/; 
Иданэс;Тумба;504.588.12; спальня;7 999 ₽;https://www.ikea.com/ru/ru/p/idanaes-idanes-tumba-prikrovatnaya-belyy-50458812/; 
Гертруд;Гардины;803.867.29; спальня;1 399 ₽;https://www.ikea.com/ru/ru/p/gjertrud-gertrud-gardiny-2-sht-belyy-80386729/; 
Каллакс;Стеллаж;203.795.76; спальня;4 799 ₽;https://www.ikea.com/ru/ru/p/kallax-kallaks-stellazh-belyy-20379576/; 
Эппларюд;Диван;794.295.36;гостиная;89 999 ₽;https://www.ikea.com/ru/ru/p/aepplaryd-epplaryud-4-mestnyy-divan-s-kozetkoy-leyde-svetlo-seryy-s79429536/; 
Бримнэс;Шкаф для ТВ;393.978.01;гостиная;20 994 ₽;https://www.ikea.com/ru/ru/p/brimnes-brimnes-shkaf-dlya-tv-kombinaciya-belyy-s39397801/; 
Ведбу;Кресло;604.235.77;гостиная;12 999 ₽;https://www.ikea.com/ru/ru/p/vedbo-vedbu-kreslo-gunnared-siniy-60423577/; 
Билли;Стеллаж;503.131.12;гостиная;2 199 ₽;https://www.ikea.com/ru/ru/p/billy-billi-stellazh-belyy-50313112/; 
Каллакс;Рабочее место;294.367.61;кабинет;22 797 ₽;https://www.ikea.com/ru/ru/p/alex-langfjaell-aleks-longfell-kallax-kallaks-stol-i-kombinaciya-dlya-hraneniya-i-rabochiy-stul-sero-biryuzovyy-chernyy-s29436761/; 
Терциал;Лампа;103.557.26;кабинет;999 ₽;https://www.ikea.com/ru/ru/p/tertial-tercial-lampa-rabochaya-belyy-10355726/; 
Лаутерс;Светильник;804.050.49;кабинет;4 499 ₽;https://www.ikea.com/ru/ru/p/lauters-lauters-svetilnik-napolnyy-yasen-belyy-80405049/; 
Дрёнйонс;Стакан для ручек;204.948.78;кабинет;99 ₽;https://www.ikea.com/ru/ru/p/droenjoens-dryonyons-stakan-dlya-ruchek-belyy-20494878/; 